Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Mrs. Bectors Food,BECTORFOOD,FMCG,Mar 2020,762,669,93,12%,3,16,42,39.0,22%,30,1.06,57.0,262.0,134.0,113.0,566.0,354.0,7.0,4.0,202.0,566.0,109.0,-43.0,-51.0,15.0,68.0,36.0,39.0,42.0,33.0,7.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
HEG,HEG,Metals & Mining,Mar 2020,2145,2150,-5,-0%,143,37,72,29.0,-82%,68,3.5,39.0,3473.0,594.0,332.0,4438.0,745.0,101.0,1245.0,2348.0,4438.0,739.0,-275.0,-460.0,4.0,503.0,68.0,226.0,30.0,264.0,134.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Insecticides (India),INSECTICID,Agriculture,Mar 2020,1363,1207,156,11%,3,24,24,111.0,22%,87,28.04,21.0,711.0,191.0,372.0,1294.0,239.0,39.0,12.0,1004.0,1294.0,242.0,-24.0,-159.0,59.0,213.0,86.0,202.0,96.0,192.0,98.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
DCM Shriram,DCMSHRIRAM,Agriculture,Mar 2020,7767,6575,1192,15%,88,164,219,897.0,20%,722,45.96,31.0,4018.0,2150.0,1935.0,8135.0,3499.0,59.0,29.0,4548.0,8135.0,496.0,-518.0,183.0,161.0,-102.0,51.0,208.0,89.0,170.0,52.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Sun Pharma,SUNPHARMA,Pharmaceuticals,Mar 2020,32838,25855,6983,21%,382,303,2053,5010.0,16%,4172,15.69,240.0,45025.0,8315.0,14615.0,68194.0,22847.0,1220.0,10143.0,33984.0,68194.0,6555.0,-2225.0,-5715.0,-1386.0,5105.0,105.0,311.0,142.0,274.0,51.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
HCLTech,HCLTECH,Information Technology,Mar 2020,70676,53360,17316,24%,589,505,3420,13980.0,21%,11057,40.75,543.0,50724.0,7986.0,23566.0,82819.0,37490.0,400.0,7066.0,37863.0,82819.0,13359.0,-12332.0,-3168.0,-2141.0,11530.0,73.0,,,73.0,14.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Deepak Fertilisers & Petrochemicals Corporation,DEEPAKFERT,Agriculture,Mar 2020,4685,4221,465,10%,95,243,214,103.0,14%,89,8.5,89.0,2092.0,3015.0,1735.0,6931.0,2712.0,1310.0,12.0,2897.0,6931.0,578.0,-156.0,-354.0,69.0,227.0,99.0,75.0,143.0,32.0,-28.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Jyothy Labs,JYOTHYLAB,FMCG,Mar 2020,1711,1460,251,15%,16,33,53,182.0,10%,163,4.64,37.0,1192.0,285.0,323.0,1836.0,1149.0,24.0,0.0,662.0,1836.0,171.0,72.0,-304.0,-60.0,130.0,26.0,91.0,53.0,65.0,-27.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
NMDC,NMDC,Metals & Mining,Mar 2020,11699,5697,6003,51%,416,10,295,6114.0,41%,3573,3.89,306.0,27367.0,566.0,3056.0,31294.0,3810.0,15530.0,910.0,11045.0,31294.0,2126.0,-313.0,-1753.0,60.0,-278.0,69.0,,,69.0,53.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
National Fertilizers,NFL,Agriculture,Mar 2020,13135,12283,852,6%,-331,409,374,-263.0,-31%,-181,-3.69,491.0,1412.0,8103.0,4561.0,14565.0,3726.0,656.0,323.0,9861.0,14565.0,-319.0,-810.0,1132.0,3.0,-1075.0,215.0,67.0,47.0,235.0,8.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Finolex Cables,FINCABLES,Consumer Durables,Mar 2020,2877,2494,384,13%,169,2,39,512.0,24%,391,25.57,31.0,2973.0,8.0,395.0,3407.0,387.0,27.0,1121.0,1872.0,3407.0,309.0,587.0,-86.0,810.0,277.0,24.0,104.0,28.0,100.0,82.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Biocon,BIOCON,Pharmaceuticals,Mar 2020,6300,4696,1604,25%,199,65,552,1186.0,27%,871,6.24,600.0,6106.0,2715.0,4993.0,14414.0,5971.0,2196.0,966.0,5281.0,14414.0,1283.0,-1505.0,388.0,165.0,-546.0,71.0,263.0,243.0,91.0,-31.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Rashtriya Chemicals & Fertilizers (RCF),RCF,Agriculture,Mar 2020,9698,9111,586,6%,26,239,171,202.0,-3%,207,3.75,552.0,2627.0,4814.0,2316.0,10309.0,2130.0,433.0,256.0,7490.0,10309.0,-522.0,-531.0,1052.0,-1.0,-948.0,171.0,78.0,80.0,170.0,54.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Torrent Pharma,TORNTPHARM,Pharmaceuticals,Mar 2020,7939,5769,2170,27%,121,451,654,1187.0,14%,1025,30.28,85.0,4739.0,5784.0,3402.0,14010.0,7533.0,712.0,2.0,5763.0,14010.0,1393.0,229.0,-1549.0,73.0,990.0,76.0,362.0,345.0,93.0,-52.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Welspun Corp,WELCORP,Metals & Mining,Mar 2020,9957,8756,1201,12%,243,144,233,1067.0,39%,654,24.36,130.0,3085.0,1061.0,3667.0,7943.0,1617.0,83.0,784.0,5460.0,7943.0,648.0,-49.0,-743.0,-144.0,474.0,42.0,127.0,81.0,88.0,39.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Symphony,SYMPHONY,Consumer Durables,Mar 2020,1103,889,213,19%,51,13,21,230.0,21%,182,25.94,14.0,625.0,210.0,215.0,1064.0,318.0,2.0,412.0,332.0,1064.0,157.0,78.0,-241.0,-6.0,140.0,40.0,74.0,72.0,42.0,-1.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Brigade Enterprises,BRIGADE,Real Estate,Mar 2020,2632,1965,667,25%,27,340,192,161.0,29%,114,4.79,204.0,2077.0,4522.0,5448.0,12251.0,2998.0,2097.0,72.0,7083.0,12251.0,465.0,-717.0,321.0,69.0,-268.0,60.0,3653.0,351.0,3362.0,41.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Godrej Properties,GODREJPROP,Real Estate,Mar 2020,2441,2181,260,11%,473,220,21,493.0,44%,274,10.73,126.0,4678.0,3715.0,1586.0,10106.0,113.0,163.0,3571.0,6259.0,10106.0,-232.0,-1721.0,1974.0,22.0,-295.0,65.0,,,65.0,-32.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Kaveri Seed Company,KSCL,Agriculture,Mar 2020,929,676,253,27%,46,0,26,273.0,5%,260,42.94,12.0,947.0,6.0,612.0,1577.0,250.0,18.0,384.0,925.0,1577.0,192.0,112.0,-301.0,3.0,141.0,46.0,485.0,203.0,329.0,126.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Prestige Estates,PRESTIGE,Real Estate,Mar 2020,8125,5769,2356,29%,161,1023,667,827.0,34%,549,10.06,401.0,4959.0,9272.0,14844.0,29476.0,8986.0,2143.0,789.0,17558.0,29476.0,2226.0,-2346.0,252.0,133.0,728.0,66.0,2500.0,269.0,2297.0,-114.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
National Aluminium (NALCO),NATIONALUM,Metals & Mining,Mar 2020,8472,7985,487,6%,273,6,530,224.0,39%,136,0.73,933.0,9054.0,12.0,4549.0,14548.0,7485.0,1427.0,331.0,5306.0,14548.0,-349.0,873.0,-677.0,-153.0,-1195.0,6.0,463.0,211.0,258.0,-9.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
EID Parry (India),EIDPARRY,Agriculture,Mar 2020,17129,15242,1887,11%,129,430,319,1266.0,30%,889,26.43,18.0,3502.0,4347.0,7069.0,14936.0,3858.0,85.0,413.0,10579.0,14936.0,1986.0,-282.0,-1769.0,-65.0,1628.0,45.0,131.0,141.0,35.0,36.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Mphasis,MPHASIS,Information Technology,Mar 2020,8844,7193,1650,19%,178,81,232,1515.0,22%,1185,63.52,187.0,5643.0,571.0,2339.0,8740.0,3013.0,17.0,1326.0,4384.0,8740.0,1321.0,142.0,-825.0,638.0,1197.0,34.0,,,34.0,6.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Newgen Software,NEWGEN,Information Technology,Mar 2020,661,556,105,16%,21,11,20,95.0,23%,73,5.2,69.0,480.0,76.0,245.0,871.0,130.0,91.0,76.0,574.0,871.0,90.0,-100.0,-47.0,-58.0,46.0,149.0,,,149.0,47.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Container Corporation of India (CONCOR),CONCOR,Ports & Infrastructure,Mar 2020,6530,4836,1694,26%,-560,46,544,544.0,25%,406,5.3,305.0,9741.0,70.0,1673.0,11789.0,5348.0,943.0,1199.0,4299.0,11789.0,4286.0,-2875.0,-1470.0,-59.0,3290.0,9.0,,,9.0,-25.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Amber Enterprises India,AMBER,Consumer Durables,Mar 2020,3963,3650,313,8%,6,43,85,191.0,14%,164,50.37,31.0,1097.0,383.0,1388.0,2899.0,1106.0,12.0,0.0,1781.0,2899.0,288.0,-320.0,63.0,31.0,147.0,79.0,72.0,124.0,27.0,16.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Jindal Steel & Power,JINDALSTEL,Metals & Mining,Mar 2020,37923,31092,6831,18%,74,3768,3429,-291.0,37%,-400,-1.07,102.0,32035.0,36824.0,20780.0,89742.0,69382.0,3126.0,181.0,17054.0,89742.0,8814.0,-1476.0,-7016.0,322.0,7308.0,34.0,207.0,181.0,60.0,-79.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Peninsula Land,PENINLAND,Real Estate,Mar 2020,481,855,-373,-78%,86,191,3,-482.0,6%,-512,-16.26,56.0,-21.0,1761.0,2260.0,4056.0,46.0,0.0,152.0,3858.0,4056.0,574.0,38.0,-556.0,57.0,577.0,15.0,3213.0,214.0,3014.0,-62.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
UPL,UPL,Agriculture,Mar 2020,35756,28984,6772,19%,-515,1481,2012,2764.0,21%,2178,20.66,153.0,19129.0,29388.0,19758.0,68428.0,35321.0,2073.0,558.0,30476.0,68428.0,8739.0,-2666.0,-2175.0,3898.0,6804.0,121.0,153.0,199.0,75.0,59.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Oracle Financial Services,OFSS,Information Technology,Mar 2020,4861,2633,2229,46%,177,47,106,2252.0,35%,1462,170.26,43.0,6527.0,115.0,1236.0,7920.0,963.0,0.0,0.0,6957.0,7920.0,1522.0,-1299.0,-47.0,175.0,1472.0,69.0,,,69.0,40.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Cipla,CIPLA,Pharmaceuticals,Mar 2020,17132,13926,3206,19%,344,197,1175,2178.0,29%,1500,19.18,161.0,15602.0,2816.0,4843.0,23423.0,9683.0,825.0,1471.0,11444.0,23423.0,3068.0,114.0,-2949.0,234.0,2083.0,83.0,267.0,139.0,211.0,113.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
ITC,ITC,FMCG,Mar 2020,49388,30044,19344,39%,2417,81,1645,20035.0,22%,15593,12.45,1229.0,64044.0,277.0,11760.0,77311.0,21713.0,3256.0,28663.0,23678.0,77311.0,14690.0,-6174.0,-8181.0,334.0,12276.0,19.0,187.0,76.0,129.0,35.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Aegis Logistics,AEGISLOG,Oil & Gas,Mar 2020,7183,6906,277,4%,33,33,69,208.0,35%,134,2.93,34.0,1621.0,253.0,982.0,2890.0,1699.0,220.0,7.0,964.0,2890.0,146.0,-151.0,-126.0,-131.0,-24.0,23.0,2.0,23.0,3.0,-9.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Zensar Technologies,ZENSARTECH,Information Technology,Mar 2020,4182,3675,507,12%,88,61,159,376.0,28%,272,11.69,45.0,2045.0,332.0,1174.0,3596.0,1323.0,11.0,278.0,1983.0,3596.0,686.0,-315.0,-197.0,175.0,608.0,58.0,,,58.0,20.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Kajaria Ceramics,KAJARIACER,Consumer Durables,Mar 2020,2808,2391,417,15%,23,20,108,312.0,19%,254,16.06,16.0,1698.0,166.0,557.0,2437.0,1195.0,27.0,10.0,1206.0,2437.0,224.0,-90.0,-140.0,-6.0,103.0,52.0,189.0,88.0,152.0,57.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Polycab India,POLYCAB,Consumer Durables,Mar 2020,8830,7701,1129,13%,91,50,161,1010.0,24%,766,50.97,149.0,3688.0,157.0,1967.0,5961.0,1422.0,241.0,65.0,4232.0,5961.0,244.0,-262.0,11.0,-7.0,-45.0,59.0,116.0,82.0,94.0,71.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Puravankara,PURVA,Real Estate,Mar 2020,2128,1681,447,21%,59,343,23,140.0,37%,88,3.73,119.0,1795.0,2670.0,3487.0,8071.0,122.0,9.0,132.0,7807.0,8071.0,578.0,-23.0,-579.0,-24.0,560.0,51.0,2438.0,216.0,2273.0,153.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Avanti Feeds,AVANTIFEED,Agriculture,Mar 2020,4115,3659,456,11%,71,4,38,485.0,20%,386,25.43,14.0,1390.0,2.0,475.0,1880.0,271.0,26.0,680.0,903.0,1880.0,178.0,-79.0,-141.0,-42.0,144.0,8.0,61.0,24.0,44.0,36.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
SAIL,SAIL,Metals & Mining,Mar 2020,61664,51400,10264,17%,280,3487,3756,3302.0,36%,2121,5.13,4131.0,37380.0,54127.0,31560.0,127198.0,69034.0,8753.0,3240.0,46170.0,127198.0,-618.0,-4261.0,5003.0,125.0,-4999.0,52.0,370.0,97.0,325.0,-24.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
PNC Infratech,PNCINFRA,Ports & Infrastructure,Mar 2020,5603,4275,1328,24%,182,439,351,719.0,24%,550,21.43,51.0,2503.0,3515.0,2421.0,8490.0,1978.0,0.0,444.0,6068.0,8490.0,525.0,-230.0,254.0,549.0,436.0,19.0,45.0,80.0,-17.0,-11.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Transport Corporation of India (TCI),TCI,Ports & Infrastructure,Mar 2020,2718,2476,241,9%,34,34,82,159.0,10%,143,18.53,15.0,1009.0,422.0,237.0,1683.0,772.0,22.0,135.0,755.0,1683.0,243.0,-135.0,-104.0,3.0,97.0,65.0,,,65.0,28.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Emami,EMAMILTD,FMCG,Mar 2020,2655,1970,685,26%,46,21,336,374.0,19%,302,6.67,45.0,1778.0,210.0,644.0,2678.0,1459.0,8.0,156.0,1055.0,2678.0,531.0,-231.0,-405.0,-106.0,383.0,42.0,102.0,135.0,9.0,7.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Tata Consumer Products,TATACONSUM,FMCG,Mar 2020,9637,8345,1292,13%,-163,78,242,809.0,34%,460,4.8,92.0,13723.0,1586.0,3072.0,18473.0,11656.0,95.0,1323.0,5399.0,18473.0,1082.0,-622.0,-308.0,152.0,931.0,35.0,115.0,64.0,87.0,47.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Rail Vikas Nigam (RVNL),RVNL,Ports & Infrastructure,Mar 2020,14531,13757,773,5%,246,41,20,958.0,21%,757,3.63,2085.0,3034.0,4257.0,3019.0,12395.0,305.0,25.0,1588.0,10476.0,12395.0,-962.0,124.0,827.0,-11.0,-983.0,21.0,,,21.0,122.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
GAIL,GAIL,Oil & Gas,Mar 2020,72518,63495,9022,12%,3796,309,2080,10429.0,9%,9515,13.93,4510.0,44758.0,6912.0,18754.0,74934.0,38230.0,11666.0,9893.0,15145.0,74934.0,8345.0,-8299.0,281.0,328.0,-890.0,24.0,21.0,25.0,20.0,-10.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
IRCON International,IRCON,Ports & Infrastructure,Mar 2020,5391,4787,604,11%,178,28,83,672.0,28%,485,5.16,94.0,4077.0,0.0,6009.0,10181.0,1982.0,30.0,803.0,7366.0,10181.0,-136.0,447.0,-275.0,36.0,-185.0,37.0,320.0,588.0,-231.0,-85.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
KNR Constructions,KNRCON,Ports & Infrastructure,Mar 2020,2452,1829,623,25%,66,111,254,324.0,21%,256,9.44,28.0,1533.0,875.0,1068.0,3503.0,1275.0,10.0,66.0,2153.0,3503.0,231.0,-202.0,2.0,31.0,25.0,26.0,60.0,127.0,-42.0,-11.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Voltas,VOLTAS,Consumer Durables,Mar 2020,7658,7040,618,8%,179,21,32,744.0,30%,521,15.63,33.0,4247.0,219.0,3657.0,8156.0,380.0,26.0,2343.0,5406.0,8156.0,462.0,-210.0,-294.0,-42.0,379.0,87.0,97.0,177.0,7.0,49.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Marico,MARICO,FMCG,Mar 2020,7315,5846,1469,20%,95,50,140,1374.0,24%,1043,7.91,129.0,2894.0,338.0,1603.0,4964.0,1396.0,58.0,733.0,2777.0,4964.0,1214.0,-22.0,-1147.0,45.0,1034.0,27.0,157.0,108.0,76.0,24.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
NBCC (India),NBCC,Ports & Infrastructure,Mar 2020,8087,7982,105,1%,207,8,6,297.0,66%,100,0.29,180.0,1270.0,0.0,11080.0,12531.0,165.0,0.0,28.0,12337.0,12531.0,113.0,88.0,-160.0,41.0,130.0,84.0,,,84.0,-235.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
HPCL,HINDPETRO,Oil & Gas,Mar 2020,269092,263887,5204,2%,679,1139,3370,1374.0,-92%,2639,11.54,1524.0,29456.0,44001.0,41935.0,116918.0,48952.0,17170.0,14396.0,36400.0,116918.0,5469.0,-14168.0,8452.0,-247.0,-8325.0,5.0,29.0,17.0,17.0,-34.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Chambal Fertilisers & Chemicals,CHAMBLFERT,Agriculture,Mar 2020,12206,10281,1925,16%,192,504,287,1327.0,8%,1226,29.46,416.0,3123.0,10113.0,880.0,14533.0,6701.0,85.0,217.0,7529.0,14533.0,827.0,-462.0,-283.0,82.0,177.0,166.0,60.0,29.0,198.0,14.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Radico Khaitan,RADICO,FMCG,Mar 2020,2395,2023,372,16%,-15,32,53,273.0,17%,229,17.16,27.0,1516.0,400.0,540.0,2483.0,743.0,18.0,178.0,1543.0,2483.0,60.0,-67.0,9.0,2.0,-20.0,125.0,209.0,148.0,187.0,85.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Varun Beverages,VBL,FMCG,Dec 2020,6450,5235,1215,19%,-30,294,529,363.0,1%,357,1.01,289.0,3235.0,3216.0,1707.0,8447.0,6409.0,67.0,0.0,1972.0,8447.0,1012.0,-472.0,-574.0,-33.0,476.0,14.0,123.0,68.0,69.0,-47.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Hindalco,HINDALCO,Metals & Mining,Mar 2020,118144,103838,14306,12%,906,4197,5091,5924.0,36%,3767,16.77,222.0,58095.0,68399.0,41902.0,168618.0,89195.0,7721.0,9411.0,62291.0,168618.0,12665.0,-7101.0,6610.0,12174.0,5933.0,29.0,120.0,98.0,51.0,3.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
V-Guard Industries,VGUARD,Consumer Durables,Mar 2020,2503,2244,259,10%,24,4,29,250.0,25%,188,4.37,43.0,953.0,13.0,447.0,1455.0,284.0,67.0,36.0,1068.0,1455.0,141.0,-112.0,-91.0,-62.0,57.0,47.0,105.0,67.0,85.0,74.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
BPCL,BPCL,Oil & Gas,Mar 2020,284572,275597,8975,3%,1393,2637,4080,3652.0,-0%,3666,7.04,1967.0,34565.0,65476.0,48852.0,150860.0,60175.0,17757.0,27029.0,45900.0,150860.0,7881.0,-11135.0,3583.0,329.0,-4289.0,7.0,32.0,19.0,20.0,-30.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
KEI Industries,KEI,Consumer Durables,Mar 2020,4888,4391,497,10%,17,129,57,328.0,22%,256,28.64,18.0,1489.0,367.0,1395.0,3269.0,554.0,11.0,1.0,2703.0,3269.0,-13.0,11.0,99.0,97.0,-93.0,102.0,103.0,139.0,66.0,61.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
IRB Infrastructure Developers,IRB,Ports & Infrastructure,Mar 2020,6852,3887,2965,43%,252,1574,468,1175.0,39%,721,1.03,351.0,6331.0,9205.0,23997.0,39885.0,27671.0,403.0,4146.0,7666.0,39885.0,3709.0,-4932.0,1388.0,165.0,-1492.0,23.0,277.0,622.0,-321.0,-563.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Triveni Engineering & Industries,TRIVENI,Agriculture,Mar 2020,4437,3893,543,12%,56,79,75,446.0,25%,335,13.52,25.0,1314.0,1530.0,1181.0,4050.0,1087.0,26.0,142.0,2796.0,4050.0,510.0,-107.0,-386.0,17.0,394.0,29.0,215.0,85.0,159.0,49.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Larsen & Toubro (L&T),LT,Ports & Infrastructure,Mar 2020,145452,120899,24553,17%,3015,11021,2462,14086.0,23%,10894,68.02,281.0,66442.0,143174.0,96790.0,306687.0,43653.0,3311.0,20047.0,239675.0,306687.0,6694.0,-8408.0,6372.0,4658.0,3394.0,102.0,44.0,336.0,-190.0,25.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Ipca Laboratories,IPCALAB,Pharmaceuticals,Mar 2020,4619,3715,904,20%,65,20,210,739.0,18%,604,23.99,25.0,3602.0,501.0,1130.0,5258.0,2059.0,133.0,310.0,2756.0,5258.0,570.0,-509.0,-137.0,-76.0,277.0,71.0,294.0,135.0,229.0,88.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
L&T Technology Services,LTTS,Information Technology,Mar 2020,5619,4509,1110,20%,209,36,183,1100.0,25%,822,78.33,21.0,2748.0,30.0,1504.0,4303.0,1174.0,9.0,642.0,2479.0,4303.0,638.0,-222.0,-406.0,10.0,487.0,90.0,,,90.0,66.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Adani Total Gas,ATGL,Oil & Gas,Mar 2020,1875,1280,595,32%,44,41,51,547.0,20%,436,3.97,110.0,1361.0,428.0,577.0,2476.0,1198.0,342.0,282.0,655.0,2476.0,492.0,-461.0,-102.0,-71.0,51.0,12.0,14.0,28.0,-2.0,-24.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Phoenix Mills,PHOENIXLTD,Real Estate,Mar 2020,1936,963,973,50%,60,348,208,478.0,26%,388,10.91,31.0,3678.0,4308.0,2528.0,10545.0,6453.0,1534.0,590.0,1968.0,10545.0,739.0,-362.0,-287.0,90.0,-3.0,38.0,,,38.0,-94.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Kolte-Patil,KOLTEPATIL,Real Estate,Mar 2020,1130,896,234,21%,47,80,17,184.0,46%,100,9.55,76.0,829.0,747.0,2078.0,3730.0,294.0,1.0,1.0,3434.0,3730.0,335.0,-69.0,-227.0,39.0,255.0,20.0,1374.0,143.0,1251.0,201.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
Hindustan Unilever,HINDUNILVR,FMCG,Mar 2020,39783,29922,9861,25%,424,118,1002,9165.0,26%,6756,31.17,216.0,8013.0,0.0,11924.0,20153.0,5479.0,597.0,1255.0,12822.0,20153.0,7623.0,1791.0,-6819.0,2595.0,6813.0,11.0,65.0,176.0,-101.0,-31.0,153.46666666666667,6.62,121.63333333333333,4.258333333333334,3.695833333333333,43.16759435581511,74.22089441597883
